stt,unnamed_1,so_bien_nhan,ngay_tiep_nhan,ngay_cap_gcn_attp,ten_co_so,dia_chi,phuong_xa,quan_huyen,ten_san_pham,tên_cơ_sở_sx,địa_chỉ_sx,phường_sx,quận_huyện_sx,so_ban_cong_bo,ngay_hoan_thanh,ket_qua,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
109,,,,2023-12-26 00:00:00,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",tan tao,binh tan,san pham dinh duong cong thuc arti gain pedia danh cho tre tu 0-1 tuoi,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,109,2023-12-21,,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",binh tan,tan tao
110,,,,2023-12-26 00:00:00,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",tan tao,binh tan,san pham dinh duong cong thuc arti gain pedia danh cho tre tu 2-10 tuoi,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,110,2023-12-21,,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",binh tan,tan tao
111,,,,2024-01-02 00:00:00,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",tan tao,binh tan,san pham dinh duong cong thuc arti gain pedia danh cho tre tu 2-10 tuoi,CÔNG TY CỔ PHẦN THƯƠNG MẠI SẢN XUẤT TÂN ÚC VIỆT,"Lô 60, Đường số 2, Khu Công nghiệp Tân Tạo",Tân Tạo,Bình Tân,111,2023-12-26,,cong ty co phan thuong mai san xuat tan uc viet,"lo 60, đuong so 2, khu cong nghiep tan tao",binh tan,tan tao
112,,,,2024-01-02 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc danh cho tre tu 0-12 thang tuoi baby stemp 1+,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,112,2023-12-26,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
113,,,,2024-01-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc danh cho tre tu 1-10 tuoi kids care pedia gold,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,113,2023-12-28,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
114,,,,2024-01-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc danh cho tre tu 1-15 tuoi biotar iq grow,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,114,2023-12-28,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
115,,,,2024-01-04 00:00:00,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh hung hoa b,binh tan,san pham dinh duong cong thuc danh cho tre tu 0-12 thang tuoi colosmill baby gold,CHI NHÁNH CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN VÀ SẢN XUẤT SAC,F5/2B Ấp 6,Vĩnh Lộc A,Bình Chánh,115,2023-12-28,,cong ty co phan đau tu phat trien va san xuat sac,256/45/17 lien khu 4-5,binh tan,binh hung hoa b
116,,,,2024-01-05 00:00:00,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,đa kao,1,banh an dam papapuffs fingers vi chuoi va ca cao - 100% ngu coc huu co,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,116,2023-12-28,,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,1,đa kao
117,,,,2024-01-05 00:00:00,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,đa kao,1,banh an dam papapuffs fingers vi bi đo va khoai lang tim - 100% ngu coc huu co,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,117,2023-12-28,,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,1,đa kao
118,,,,2024-01-05 00:00:00,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,đa kao,1,banh an dam papapuffs fingers vi rong bien va ca rot - 100% ngu coc huu co,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH MỘT THÀNH VIÊN PAPAFOOD,135/28 + 135/30 đường Nguyễn Cửu Vân,17,Bình Thạnh,118,2023-12-28,,cong ty tnhh mot thanh vien papafood,84e nguyen đinh chieu,1,đa kao
119,,,,2023-01-09 00:00:00,cong ty tnhh che bien thuc pham viet y,17a tran van can,tan thoi hoa,tan phu,san pham dinh duong cong thuc cow true milk hoc đuong,CÔNG TY TRÁCH NHIỆM HỮU HẠN CHẾ BIẾN THỰC PHẨM VIỆT Ý - XƯỞNG SẢN XUẤT,"364C, Đường Nguyễn Thị Lắng",Phước Vĩnh An,Củ Chi,119,2023-12-29,,cong ty tnhh che bien thuc pham viet y,17a tran van can,tan phu,tan thoi hoa
120,,,,,,,,,,,,,,120,,,,,,
121,,,,,,,,,,,,,,121,,,,,,
122,,,,,,,,,,,,,,122,,,,,,
123,,,,,,,,,,,,,,123,,,,,,
124,,,,,,,,,,,,,,124,,,,,,
125,,,,,,,,,,,,,,125,,,,,,
126,,,,,,,,,,,,,,126,,,,,,
127,,,,,,,,,,,,,,127,,,,,,
128,,,,,,,,,,,,,,128,,,,,,
