stt,unnamed_1,lĩnh_vực,so_bien_nhan,ngày_tiếp_nhận,han_tra,kêt_qua,ten_co_so,ten_chu_co_so,dia_chi,phuong_xa,quan_huyen,so_gcn_dkkd,loai_hinh_co_so,so_gcn_attp,ngay_cap_gcn_attp,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_dau_tien,ngay_cap_dau_tien,chuyen_vien_thu_ly,ten_co_so_norm,dia_chi_norm,quan_huyen_norm,phuong_xa_norm
2003,,CT,h29.24-230517-0159,2023-05-17,2023-06-15,,đia điem kinh doanh so 06 - cong ty co phan t - martstores - chi nhanh thanh pho ho chi minh,tran anh tuan,"so 850 le van luong, ap 5",phuoc kien,nha be,,ban le nhom san pham theo danh muc,2003,2023-05-26,,,,,,đia điem kinh doanh so 06 - cong ty co phan t - martstores - chi nhanh thanh pho ho chi minh,"so 850 le van luong, ap 5",nha be,phuoc kien
2004,,YT,h29.24-230509-0193,2023-05-15,2023-06-12,,cong ty tnhh aatrading,truong van hoang,"so 2 đuong nguyen an, khu pho 1",thanh my loi,thu đuc,,kinh doanh dich vu an uong,2004,2023-05-26,,,,,,cong ty tnhh aatrading,"so 2 đuong nguyen an, khu pho 1",thu đuc,thanh my loi
2005,,YT,h29.24-230516-0104,2023-05-17,2023-06-14,,cua hang ca phe ong bau 313 minh phung,nguyen trung nam,313 minh phung,2,11,,kinh doanh dich vu an uong,2005,2023-05-26,,,,,,cua hang ca phe ong bau 313 minh phung,313 minh phung,11,2
2006,,YT,h29.24-230516-0210,2023-05-17,2023-06-14,,đia điem kinh doanh cong ty tnhh thuong mai dich vu yuna one,trinh truong the long,"tang tret, so 451 le đai hanh",11,11,,kinh doanh dich vu an uong,2006,2023-05-26,,,,,,đia điem kinh doanh cong ty tnhh thuong mai dich vu yuna one,"tang tret, so 451 le đai hanh",11,11
2007,,NN,h29.24-230516-0068,2023-05-16,2023-06-07,,cong ty tnhh mtv tm - dv thuc pham tuoi song hong chau,,"sap b2 - 102 + b2 - 106 cho đau moi nong san thuc pham binh đien, đuong quan trong linh",7,8,0316367702,"kinh doanh: rau, cu, qua",2007,2023-05-26,,,,,,cong ty tnhh mtv tm - dv thuc pham tuoi song hong chau,"sap b2 - 102 + b2 - 106 cho đau moi nong san thuc pham binh đien, đuong quan trong linh",8,7
2008,,NN,h29.24-230517-0147,2023-05-17,2023-06-08,,đia điem kinh doanh cong ty tnhh thuy hai san van thinh tri - cua hang boo,,25 quan trong linh,7,8,0310955063-00001,kinh doanh: thuy san,2008,2023-05-26,,,,,,đia điem kinh doanh cong ty tnhh thuy hai san van thinh tri - cua hang boo,25 quan trong linh,8,7
2009,,NN,h29.24-230516-0065,2023-05-16,2023-06-07,,cong ty tnhh mtv tm - dv thuc pham tuoi song quyen hien,,"sap b4 - 036 + b4 - 105 cho đau moi nong san thuc pham binh đien, đuong quan trong linh",7,8,0316372244,"kinh doanh: rau, cu, qua",2009,2023-05-26,,,,,,cong ty tnhh mtv tm - dv thuc pham tuoi song quyen hien,"sap b4 - 036 + b4 - 105 cho đau moi nong san thuc pham binh đien, đuong quan trong linh",8,7
2010,,CT,h29.24-230508-0316,2023-05-10,2023-06-08,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,tran quang thuan,141 vuon lai,phu tho hoa,tan phu,,ban le nhom san pham theo danh muc,2010,2023-05-26,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) – cua hang thuc pham tien loi satrafoods,141 vuon lai,tan phu,phu tho hoa
2011,,CT,h29.24-230509-0052,2023-05-11,2023-06-08,,chi nhanh cong ty tnhh đau tu va san xuat nam loc,le nho thinh,8-10 đuong s9,tay thanh,tan phu,,san xuat banh mi,2011,2023-05-26,,,,,,chi nhanh cong ty tnhh đau tu va san xuat nam loc,8-10 đuong s9,tan phu,tay thanh
2012,,NN,h29.24-230510-0175,2023-05-11,2023-06-02,,cong ty tnhh coffee way,,73a luy ban bich,tan thoi hoa,tan phu,0317613679,"rang, xay, đong goi: ca phe",2012,2023-05-26,,,,,,cong ty tnhh coffee way,73a luy ban bich,tan phu,tan thoi hoa
2013,,NN,h29.24-230510-0203,2023-05-11,2023-06-02,,cong ty tnhh san xuat thuong mai phat trien niem tin viet,,316/22 tay thanh,tay thanh,tan phu,0314259123,"kinh doanh: rau, cu, qua, thit, thuy san, trung",2013,2023-05-26,,,,,,cong ty tnhh san xuat thuong mai phat trien niem tin viet,316/22 tay thanh,tan phu,tay thanh
2014,,"CT, NN, YT",h29.24-230509-0198,2023-05-11,2023-06-08,,trung tam mua sam aeon – tan phu celadon,furusawa yasuyuki,"so 30, đuong tan thang",son ky,tan phu,,"so che: rau, cu, qua, thit, thuy san",2014,2023-05-26,,,,,,trung tam mua sam aeon – tan phu celadon,"so 30, đuong tan thang",tan phu,son ky
2015,,YT,h29.24-230511-0200,2023-05-12,2023-06-09,,đia điem kinh doanh cong ty co phan trung nguyen franchising - cua hang trung nguyen,đang nguyet yen thanh,so 03 đuong tran hung đao,tan thanh,tan phu,,kinh doanh dich vu an uong,2015,2023-05-26,,,,,,đia điem kinh doanh cong ty co phan trung nguyen franchising - cua hang trung nguyen,so 03 đuong tran hung đao,tan phu,tan thanh
2016,,NN,h29.24-230512-0147,2023-05-15,2023-06-06,,cong ty co phan dv nam phat - đia điem kinh doanh kho chua hang,,94 đuong kenh tan hoa,phu trung,tan phu,0316193573-00001,kinh doanh thuy san,2016,2023-05-26,,,,,,cong ty co phan dv nam phat - đia điem kinh doanh kho chua hang,94 đuong kenh tan hoa,tan phu,phu trung
2017,,YT,h29.24-230512-0073,2023-05-15,2023-06-12,,chi nhanh cong ty tnhh tm dv kim hoang tram vn,tran van duyen,"104 đuong xuan thoi son 15, ap 4",xuan thoi son,hoc mon,,kinh doanh dich vu an uong,2017,2023-05-26,,,,,,chi nhanh cong ty tnhh tm dv kim hoang tram vn,"104 đuong xuan thoi son 15, ap 4",hoc mon,xuan thoi son
2018,,NN,h29.24-230516-0212,2023-05-17,2023-06-08,,chi nhanh cong ty tnhh đau tu thuong mai dich vu tran hoang long,,19/3 ap 2,nhi binh,hoc mon,0310642871-001,"so che, đong goi: đuong phen",2018,2023-05-26,,,,,,chi nhanh cong ty tnhh đau tu thuong mai dich vu tran hoang long,19/3 ap 2,hoc mon,nhi binh
2019,,YT,h29.24-230511-0184,2023-05-15,2023-06-12,,đia điem kinh doanh so 2 - cong ty co phan nha hang yeebo,trinh hong quan,76 nguyen van troi,8,phu nhuan,,kinh doanh dich vu an uong,2019,2023-05-26,,,,,,đia điem kinh doanh so 2 - cong ty co phan nha hang yeebo,76 nguyen van troi,phu nhuan,8
2020,,NN,h29.24-230508-0137,2023-05-16,2023-06-07,,cong ty trach nhiem huu han san xuat thuong mai dich vu hoang khanh vy,,"436/9 đuong đang thuc vinh, ap tam đong 3",thoi tam thon,hoc mon,0314171334,"che bien: nui chien, bap chien",2020,2023-05-26,,,,,,cong ty trach nhiem huu han san xuat thuong mai dich vu hoang khanh vy,"436/9 đuong đang thuc vinh, ap tam đong 3",hoc mon,thoi tam thon
2021,,CT,h29.24-230515-0234,2023-05-16,2023-06-14,,đia điem kinh doanh cua cong ty tnhh eb tan phu – sieu thi tops market au co,olivier bernard r.langlet,"khu can ho va trung tam thuong mai đong phuong, so 685 đuong au co",tan thanh,tan phu,,"san xuat banh tu bot; so che, đong goi: rau, cu, qua, thit, thuy san; ban le nhom san pham theo danh muc; kinh doanh dich vu an uong",2021,2023-05-26,,,,,,đia điem kinh doanh cua cong ty tnhh eb tan phu – sieu thi tops market au co,"khu can ho va trung tam thuong mai đong phuong, so 685 đuong au co",tan phu,tan thanh
2022,,YT,h29.24-230516-0051,2023-05-16,2023-06-13,,cong ty tnhh nha hang thoi thuong 168,nguyen chi than,379-381 đuong vanh đai trong,binh tri đong b,binh tan,,kinh doanh dich vu an uong,2022,2023-05-26,,,,,,cong ty tnhh nha hang thoi thuong 168,379-381 đuong vanh đai trong,binh tan,binh tri đong b
2023,,YT,h29.24-230516-0056,2023-05-16,2023-06-13,,đia điem kinh doanh cong ty tnhh san xuat thuong mai dich vu xuat nhap khau tam thanh phat,huynh vu bao,34/47 đuong so 15,binh hung hoa,binh tan,,kinh doanh dich vu an uong,2023,2023-05-26,,,,,,đia điem kinh doanh cong ty tnhh san xuat thuong mai dich vu xuat nhap khau tam thanh phat,34/47 đuong so 15,binh tan,binh hung hoa
2024,,YT,h29.24-230511-0176,2023-05-16,2023-06-13,,co so sx nuoc uong đong binh vita,tran thi my ha,"26/31/23 vo van van, khu pho 1",tan tao,binh tan,,san xuat nuoc uong đong binh,2024,2023-05-26,,,,,,co so sx nuoc uong đong binh vita,"26/31/23 vo van van, khu pho 1",binh tan,tan tao
2025,,NN,h29.24-230516-0076,2023-05-16,2023-06-07,,cong ty tnhh ngan thien,,"1870/1/45 tinh lo 10, khu pho 1",tan tao,binh tan,,"kinh doanh: rau, cu, qua, thit, trung, ca",2025,2023-05-26,,,,,,cong ty tnhh ngan thien,"1870/1/45 tinh lo 10, khu pho 1",binh tan,tan tao
2026,,NN,h29.24-230509-0196,2023-05-16,2023-06-07,,ho kinh doanh diem phuc sai gon,,72 đuong so 7,binh hung hoa,binh tan,41W8061226,"so che, cat, đong goi: thit, thuy san",2026,2023-05-26,,,,,,ho kinh doanh diem phuc sai gon,72 đuong so 7,binh tan,binh hung hoa
2027,,"NN, CT",h29.24-230512-0133,2023-05-16,2023-06-07,,chi nhanh cong ty tnhh thuong mai san xuat hai nam,,so 14 nguyen van dung,6,go vap,0301448518-001,"che bien che yen; so che, đong goi: nam meo, yen; đong goi: tom kho, muc kho, vi ca kho, banh trang, bun gao, banh pho kho",2027,2023-05-26,,,,,,chi nhanh cong ty tnhh thuong mai san xuat hai nam,so 14 nguyen van dung,go vap,6
2028,,YT,h29.24-230517-0259,2023-05-18,2023-06-16,,them gi cung co - đia điem kinh doanh so 1 cong ty tnhh nnb town,hoa tran ngoc bich,24 binh gia,13,tan binh,,kinh doanh dich vu an uong,2028,2023-05-26,,,,,,them gi cung co - đia điem kinh doanh so 1 cong ty tnhh nnb town,24 binh gia,tan binh,13
2029,,YT,h29.24-230517-0048,2023-05-17,2023-06-14,,chi nhanh cong ty tnhh quoc te le kien,phan thanh tu,"gian hang 3f-40 & 41, tang 3, toa nha crescent mall, 101 đuong ton dat tien",tan phu,7,,kinh doanh dich vu an uong,2029,2023-05-26,,,,,,chi nhanh cong ty tnhh quoc te le kien,"gian hang 3f-40 & 41, tang 3, toa nha crescent mall, 101 đuong ton dat tien",7,tan phu
2030,,YT,h29.24-230516-0070,2023-05-17,2023-06-15,,cong ty tnhh wasakura,nguyen thi ngoc,"r4-63, đuong noi khu hung phuoc 3, khu pho hung phuoc 3",tan phong,7,,kinh doanh dich vu an uong,2030,2023-05-26,,,,,,cong ty tnhh wasakura,"r4-63, đuong noi khu hung phuoc 3, khu pho hung phuoc 3",7,tan phong
2031,,YT,h29.24-230517-0088,2023-05-17,2023-06-15,,đia điem kinh doanh tai crescent mall - cong ty tnhh muji retail (viet nam),tetsuya nagaiwa,"lo gf-7, 8, 9a tang tret va lo 2f-8, 9, 10a, 10b, 11a, tang 2, crescent mall, so 101, đuong ton dat tien",tan phu,7,,kinh doanh dich vu an uong,2031,2023-05-26,,,,,,đia điem kinh doanh tai crescent mall - cong ty tnhh muji retail (viet nam),"lo gf-7, 8, 9a tang tret va lo 2f-8, 9, 10a, 10b, 11a, tang 2, crescent mall, so 101, đuong ton dat tien",7,tan phu
2032,,YT,h29.24-230508-0075,2023-05-10,2023-06-08,,đia điem kinh doanh cong ty co phan dich vu hang khong taseco sai gon,pham xuan tien,"dd118-a khu vuc cach ly ga quoc noi đi, cang hang khong quoc te tan son nhat, 58 truong son",2,tan binh,,kinh doanh dich vu an uong,2032,2023-05-26,,,,,,đia điem kinh doanh cong ty co phan dich vu hang khong taseco sai gon,"dd118-a khu vuc cach ly ga quoc noi đi, cang hang khong quoc te tan son nhat, 58 truong son",tan binh,2
2033,,YT,h29.24-230508-0073,2023-05-10,2023-06-08,,đia điem kinh doanh cong ty co phan dich vu hang khong taseco sai gon,pham xuan tien,"dd111-b khu vuc cach ly ga quoc noi đi, cang hang khong quoc te tan son nhat, 58 truong son",2,tan binh,,kinh doanh dich vu an uong,2033,2023-05-26,,,,,,đia điem kinh doanh cong ty co phan dich vu hang khong taseco sai gon,"dd111-b khu vuc cach ly ga quoc noi đi, cang hang khong quoc te tan son nhat, 58 truong son",tan binh,2
2034,,YT,h29.24-230516-0130,2023-05-16,2023-06-14,,"cong ty co phan am thuc 1992,75 nhat truong cuu nhi - chi nhanh bau xi giun",nguyen đuc hoa,307 an duong vuong,3,5,,kinh doanh dich vu an uong,2034,2023-05-26,,,,,,"cong ty co phan am thuc 1992,75 nhat truong cuu nhi - chi nhanh bau xi giun",307 an duong vuong,5,3
2035,,YT,h29.24-230510-0040,2023-05-16,2023-06-14,,chi nhanh cong ty tnhh yu shang lou,lew kean hooi,so 975 tran hung đao,5,5,,kinh doanh dich vu an uong,2035,2023-05-26,,,,,,chi nhanh cong ty tnhh yu shang lou,so 975 tran hung đao,5,5
2036,,CT,h29.24-230512-0223,2023-05-16,2023-06-14,,cua hang co.op food the garden mall,vo thi ngoc huong,"tang 1, khu thuong mai thuan kieu, 190 hong bang",12,5,,ban le nhom san pham theo danh muc,2036,2023-05-26,,,,,,cua hang co.op food the garden mall,"tang 1, khu thuong mai thuan kieu, 190 hong bang",5,12
2037,,CT,h29.24-230510-0154,2023-05-17,2023-06-15,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 299,nong van dung,"375/2 đao cu, ap mieu nhi",thi tran can thanh,can gio,,ban le nhom san pham theo danh muc,2037,2023-05-26,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh - cua hang bach hoa xanh so 299,"375/2 đao cu, ap mieu nhi",can gio,thi tran can thanh
2038,,YT,h29.24-230517-0050,2023-05-17,2023-06-15,,đia điem kinh doanh so 16 cong ty tnhh nha hang am thuc lien minh,pham thi huong mai,177 tran binh trong,3,5,,kinh doanh dich vu an uong,2038,2023-05-26,,,,,,đia điem kinh doanh so 16 cong ty tnhh nha hang am thuc lien minh,177 tran binh trong,5,3
2039,,YT,h29.24-230510-0025,2023-05-16,2023-06-14,,cua hang kfc maximark cong hoa,pornchai thuratum,"lo l1-04, tang l1, trung tam thuong mai vincom plaza cong hoa, so 15-17 cong hoa",4,tan binh,,kinh doanh dich vu an uong,2039,2023-05-26,,,,,,cua hang kfc maximark cong hoa,"lo l1-04, tang l1, trung tam thuong mai vincom plaza cong hoa, so 15-17 cong hoa",tan binh,4
2040,,"CT, NN, YT",h29.24-230522-0238,2023-05-26,2023-05-30,,đia điem kinh doanh cua cong ty tnhh eb tan phu – sieu thi tops market thao đien,olivier bernard r.langlet,"tang ham lung, toa nha thao đien pearl, so 12, đuong quoc huong",thao đien,thu đuc,,"ban le nhom san pham theo danh muc; san xuat cac loai banh tu bot (tru banh kem, banh trung thu); kinh doanh dich vu an uong; so chei: rau, cu, qua, thit, thuy san",2040,2023-05-29,1428.0,2023-04-17,,,,đia điem kinh doanh cua cong ty tnhh eb tan phu – sieu thi tops market thao đien,"tang ham lung, toa nha thao đien pearl, so 12, đuong quoc huong",thu đuc,thao đien
2041,,NN,h29.24-230512-0206,2023-05-17,2023-06-08,,cong ty tnhh mona organic,,393/12 chu van an,12,binh thanh,0317663662,che bien thanh gao lut,2041,2023-05-29,,,,,,cong ty tnhh mona organic,393/12 chu van an,binh thanh,12
2042,,YT,h29.24-230515-0235,2023-05-16,2023-06-14,,chi nhanh cong ty tnhh am thuc d&t,tran ngoc danh,69 ngo tat to,21,binh thanh,,kinh doanh dich vu an uong,2042,2023-05-29,,,,,,chi nhanh cong ty tnhh am thuc d&t,69 ngo tat to,binh thanh,21
2043,,YT,h29.24-230515-0052,2023-05-16,2023-06-14,,cong ty tnhh thuc pham va đo uong an toan viet nam,hoang tien phat,83 nguyen đo cung,tay thanh,tan phu,,kinh doanh dich vu an uong,2043,2023-05-29,,,,,,cong ty tnhh thuc pham va đo uong an toan viet nam,83 nguyen đo cung,tan phu,tay thanh
2044,,NN,h29.24-230511-0232,2023-05-18,2023-06-09,,ho kinh doanh đang thi loan,,319 khuong viet,phu trung,tan phu,41X8000420,rang ca phe,2044,2023-05-29,,,,,,ho kinh doanh đang thi loan,319 khuong viet,tan phu,phu trung
2045,,NN,h29.24-230428-0147,2023-05-15,2023-06-06,,cong ty tnhh ak plus,,"tang tret, 504 nguyen tat thanh",18,go vap,0317541015,rang ca phe,2045,2023-05-29,,,,,,cong ty tnhh ak plus,"tang tret, 504 nguyen tat thanh",go vap,18
2046,,YT,h29.24-230509-0084,2023-05-16,2023-06-14,,cong ty tnhh nha hang han quoc meat & meet,lee taecheon,so 8 đuong le thi rieng,ben thanh,1,,kinh doanh dich vu an uong,2046,2023-05-29,,,,,,cong ty tnhh nha hang han quoc meat & meet,so 8 đuong le thi rieng,1,ben thanh
2047,,YT,h29.24-230512-0204,2023-05-16,2023-06-13,,chi nhanh vo roof - cong ty tnhh bep vo,pham thi phuong thao,113 ton that đam,ben nghe,1,,kinh doanh dich vu an uong,2047,2023-05-29,,,,,,chi nhanh vo roof - cong ty tnhh bep vo,113 ton that đam,1,ben nghe
2048,,YT,h29.24-230512-0150,2023-05-16,2023-06-13,,đia điem kinh doanh cong ty tnhh hipb,nguyen thi minh ngoc,63 nguyen thi minh khai,ben thanh,1,,kinh doanh dich vu an uong,2048,2023-05-29,,,,,,đia điem kinh doanh cong ty tnhh hipb,63 nguyen thi minh khai,1,ben thanh
2049,,YT,h29.24-230516-0004,2023-05-17,2023-06-15,,cong ty tnhh nha hang am thuc phuong nam sai gon,ngo thi huyen,62-64 vanh đai trong,binh tri đong b,binh tan,,kinh doanh dich vu an uong,2049,2023-05-29,,,,,,cong ty tnhh nha hang am thuc phuong nam sai gon,62-64 vanh đai trong,binh tan,binh tri đong b
2050,,"NN, YT",h29.24-230512-0246,2023-05-16,2023-06-07,,lala coffee and tea lqh,,50b le quoc hung,13,4,,"rang, xay, đong goi ca phe; kinh doanh dich vu an uong",2050,2023-05-29,,,,,,lala coffee and tea lqh,50b le quoc hung,4,13
2051,,NN,h29.24-230516-0144,2023-05-17,2023-06-08,,đia điem kinh doanh co so phan phoi trai cay tan loc - cong ty tnhh tm dv xnk tan loc fruit,,927b tinh lo 43,binh chieu,thu đuc,0317601151-00001,"so che, đong goi, kinh doanh : trai cay",2051,2023-05-29,,,,,,đia điem kinh doanh co so phan phoi trai cay tan loc - cong ty tnhh tm dv xnk tan loc fruit,927b tinh lo 43,thu đuc,binh chieu
2052,,YT,h29.24-230512-0201,2023-05-16,2023-06-13,,cong ty tnhh chiec muong vang,tang ky chanh,9a tu xuong,vo thi sau,3,,kinh doanh dich vu an uong,2052,2023-05-29,,,,,,cong ty tnhh chiec muong vang,9a tu xuong,3,vo thi sau
2053,,YT,h29.24-230508-0349,2023-05-16,2023-06-13,,đia điem kinh doanh cong ty tnhh cung ung passion,đinh thi phuong,17 vo van tan,vo thi sau,3,,kinh doanh dich vu an uong,2053,2023-05-29,,,,,,đia điem kinh doanh cong ty tnhh cung ung passion,17 vo van tan,3,vo thi sau
2054,,YT,h29.24-230511-0229,2023-05-15,2023-06-12,,cong ty tnhh cozy eatery and bar,ha thanh luan,382/22 nguyen thi minh khai,5,3,,kinh doanh dich vu an uong,2054,2023-05-29,,,,,,cong ty tnhh cozy eatery and bar,382/22 nguyen thi minh khai,3,5
2055,,YT,h29.24-230508-0251,2023-05-16,2023-06-13,,chi nhanh cong ty tnhh bat đong san ngoc hanh – ba huyen 2,duong ngoc hanh,12 su thien chieu,vo thi sau,3,,kinh doanh dich vu an uong,2055,2023-05-29,,,,,,chi nhanh cong ty tnhh bat đong san ngoc hanh – ba huyen 2,12 su thien chieu,3,vo thi sau
2056,,YT,h29.24-230516-0211,2023-05-17,2023-06-15,,cong ty tnhh la kaffe,la ai boi,868a đuong ta quang buu,5,8,,kinh doanh dich vu an uong,2056,2023-05-29,,,,,,cong ty tnhh la kaffe,868a đuong ta quang buu,8,5
2057,,YT,h29.24-230516-0012,2023-05-16,2023-06-14,,cong ty tnhh tmdv king of sushi viet nam,tran van thanh,so 47 hoa su,7,phu nhuan,,kinh doanh dich vu an uong,2057,2023-05-29,,,,,,cong ty tnhh tmdv king of sushi viet nam,so 47 hoa su,phu nhuan,7
2058,,NN,h29.24-230516-0216,2023-05-18,2023-06-09,,ho kinh doanh tiem com minh đuc,,35 ton that tung,pham ngu lao,1,41A8049051,"che bien thuy san (ca com kho, ca bong kho, tom rim, ram rim); đong goi thuy san kho",2058,2023-05-29,,,,,,ho kinh doanh tiem com minh đuc,35 ton that tung,1,pham ngu lao
2059,,YT,h29.24-230516-0044,2023-05-17,2023-06-14,,cong ty tnhh san xuat thuong mai le hung phat,le thanh hung,23 bui quang la,12,go vap,,san xuat nuoc đa vien dung lien,2059,2023-05-30,,,,,,cong ty tnhh san xuat thuong mai le hung phat,23 bui quang la,go vap,12
2060,,CT,h29.24-230515-0066,2023-05-17,2023-06-14,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh tai hcm - cua hang bhx 27921,nong van dung,"lo thuong mai p5-00.12a, chung cu ch1, đuong so 10, khu dan cu cityland park hills",10,go vap,,ban le nhom san pham theo danh muc,2060,2023-05-30,,,,,,đia điem kinh doanh cong ty co phan thuong mai bach hoa xanh tai hcm - cua hang bhx 27921,"lo thuong mai p5-00.12a, chung cu ch1, đuong so 10, khu dan cu cityland park hills",go vap,10
2061,,YT,h29.24-230517-0087,2023-05-17,2023-06-15,,cong ty co phan vietlish,le rin,60/7-9 ung van khiem,25,binh thanh,,kinh doanh dich vu an uong,2061,2023-05-30,,,,,,cong ty co phan vietlish,60/7-9 ung van khiem,binh thanh,25
2062,,YT,h29.24-230517-0168,2023-05-17,2023-06-15,,cong ty tnhh dich vu phat trien bat đong san đai phu,nguyen huu phu,532 đien bien phu,21,binh thanh,,kinh doanh dich vu an uong,2062,2023-05-30,,,,,,cong ty tnhh dich vu phat trien bat đong san đai phu,532 đien bien phu,binh thanh,21
2063,,CT,h29.24-230516-0214,2023-05-18,2023-06-16,,cong ty tnhh thuong mai đau tu viet phap – chi nhanh ho chi minh,truong ngoc huyen,"l6-sh.02, tang tret, the landmark 6, vinhomes central park, so 720a đuong đien bien phu",22,binh thanh,,ban le nhom san pham theo danh muc,2063,2023-05-30,,,,,,cong ty tnhh thuong mai đau tu viet phap – chi nhanh ho chi minh,"l6-sh.02, tang tret, the landmark 6, vinhomes central park, so 720a đuong đien bien phu",binh thanh,22
2064,,YT,h29.24-230516-0201,2023-05-17,2023-06-15,,cong ty tnhh nha hang 30 bo song,mai thi hong nhung,"c4/28 fv8 ap 4, đuong pham hung",binh hung,binh chanh,,kinh doanh dich vu an uong,2064,2023-05-30,,,,,,cong ty tnhh nha hang 30 bo song,"c4/28 fv8 ap 4, đuong pham hung",binh chanh,binh hung
2065,,YT,h29.24-230517-0091,2023-05-18,2023-06-16,,cong ty tnhh mot thanh vien lalaland,pham hoang yen,869 hoang sa,9,3,,kinh doanh dich vu an uong,2065,2023-05-30,,,,,,cong ty tnhh mot thanh vien lalaland,869 hoang sa,3,9
2066,,YT,h29.24-230516-0217,2023-05-18,2023-06-16,,chi nhanh nguyen thi minh khai - cong ty tnhh isan food and beverage,tran đinh huy,70 nguyen thi minh khai,vo thi sau,3,,kinh doanh dich vu an uong,2066,2023-05-30,,,,,,chi nhanh nguyen thi minh khai - cong ty tnhh isan food and beverage,70 nguyen thi minh khai,3,vo thi sau
2067,,NN,h29.24-230516-0002,2023-05-18,2023-06-09,,ho kinh doanh co so thanh đat,,"f7/1c to 3, ap 6",vinh loc b,binh chanh,41T8020852,che bien cha bong,2067,2023-05-30,,,,,,ho kinh doanh co so thanh đat,"f7/1c to 3, ap 6",binh chanh,vinh loc b
2068,,YT,h29.24-230517-0079,2023-05-17,2023-06-15,,cong ty tnhh san xuat nuoc đa vien tan phu,le van tam,"31 đuong so 8, to 7, khu pho ich thanh",truong thanh,thu đuc,,san xuat nuoc đa vien dung lien,2068,2023-05-31,,,,,,cong ty tnhh san xuat nuoc đa vien tan phu,"31 đuong so 8, to 7, khu pho ich thanh",thu đuc,truong thanh
2069,,YT,h29.24-230515-0065,2023-05-18,2023-06-16,,đia điem kinh doanh le van sy cong ty co phan thuc pham phuc loc tho,phan sy thi,458 đuong le van sy,2,tan binh,,kinh doanh dich vu an uong,2069,2023-05-31,,,,,,đia điem kinh doanh le van sy cong ty co phan thuc pham phuc loc tho,458 đuong le van sy,tan binh,2
2070,,YT,h29.24-230511-0085,2023-05-18,2023-06-16,,chi nhanh cong ty tnhh thuong mai dich vu cobeya cobe,nguyen chi trung,135 phan xich long,2,phu nhuan,,kinh doanh dich vu an uong,2070,2023-05-31,,,,,,chi nhanh cong ty tnhh thuong mai dich vu cobeya cobe,135 phan xich long,phu nhuan,2
2071,,"CT, NN",h29.24-230518-0144,2023-05-22,2023-06-20,,cong ty tnhh mot thanh vien sai gon co.op hoc mon,tran lam hong,"380 đuong đang thuc vinh, ap thoi tu 1",thoi tam thon,hoc mon,,"ban le nhom san pham theo danh muc; so che, tam uop, đong goi: rau, cu, qua, thit, thuy san",2071,2023-05-31,,,,,,cong ty tnhh mot thanh vien sai gon co.op hoc mon,"380 đuong đang thuc vinh, ap thoi tu 1",hoc mon,thoi tam thon
2072,,CT,h29.24-230512-0199,2023-05-16,2023-06-14,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,tran quang thuan,"1560/2 le van luong, ap 2",nhon đuc,nha be,,ban le nhom san pham theo danh muc,2072,2023-05-31,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,"1560/2 le van luong, ap 2",nha be,nhon đuc
2073,,CT,h29.24-230512-0197,2023-05-16,2023-06-14,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,tran quang thuan,"1131a - 1131b le van luong, ap 3",phuoc kien,nha be,,ban le nhom san pham theo danh muc,2073,2023-05-31,,,,,,chi nhanh tong cong ty thuong mai sai gon - tnhh mot thanh vien - trung tam đieu hanh cua hang tien loi satra (satrafoods) - cua hang thuc pham tien loi satrafoods,"1131a - 1131b le van luong, ap 3",nha be,phuoc kien
2074,,NN,h29.24-230512-0087,2023-05-16,2023-06-07,,cong ty tnhh thuc pham jm,,35a đuong so 28,cat lai,thu đuc,0315673739,"cat, đong goi thit đong lanh",2074,2023-05-31,,,,,,cong ty tnhh thuc pham jm,35a đuong so 28,thu đuc,cat lai
2075,,NN,h29.24-230515-0028,2023-05-17,2023-06-08,,đia điem kinh doanh so 2 – cong ty tnhh cloudeats vn,,"so 337c xa lo ha noi, khu pho 4",an phu,thu đuc,0317023750-00002,"so che, đong goi, tam uop: thit; che bien nuoc xot",2075,2023-05-31,,,,,,đia điem kinh doanh so 2 – cong ty tnhh cloudeats vn,"so 337c xa lo ha noi, khu pho 4",thu đuc,an phu
