stt,unnamed_1,linh_vuc,so_tiep_nhan,ngay_tiep_nhan,han_tra,ket_qua,ten_co_so,chu_co_so,đia_chi,tpphuongxathi_xathi_tran,quan_huyen,so_gcn_đkkd,loai_hinh_kinh_doanh,so_gcn_cap_moi_nhat,ngay_cap_moi_nhat,so_gcn_cap_lan_2,ngay_cap_lan_2,so_gcn_cap_đau_tien,ngay_cap,chuyen_vien_thu_ly,tinh_thanh
2887,,YT,,2023-07-07,2023-08-04,,ĐỊA ĐIỂM KINH DOANH CAFÉ KATINAT 50 QUANG TRUNG - CÔNG TY CỔ PHẦN CAFÉ KATINAT,ĐINH VIỆT HÀ,50 Quang Trung,10,Gò Vấp,,Kinh doanh dịch vụ ăn uống,2887,2023-07-19,,,,,,Ho Chi Minh
2888,,YT,,2023-07-07,2023-08-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN MAYCHA - CỬA HÀNG MAYCHA NGUYỄN VĂN NGHI,ĐỖ MINH TÂN,Số 41 Nguyễn Văn Nghi,4,Gò Vấp,,Kinh doanh dịch vụ ăn uống,2888,2023-07-19,,,,,,Ho Chi Minh
2889,,YT,,2023-07-07,2023-08-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN MAYCHA - CỬA HÀNG MAYCHA LÊ ĐỨC THỌ,ĐỖ MINH TÂN,742 Lê Đức Thọ,15,Gò Vấp,,Kinh doanh dịch vụ ăn uống,2889,2023-07-19,,,,,,Ho Chi Minh
2890,,CT,,2023-07-07,2023-08-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI BÁCH HÓA XANH - CỬA HÀNG BÁCH HÓA XANH SỐ 320,NÔNG VĂN DŨNG,"138 Nguyễn Xí, Phường 26",26,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục,2890,2023-07-19,,,,,,Ho Chi Minh
2891,,NN,,2023-07-07,2023-07-25,,HỘ KINH DOANH TÂN TÂN,,173/23/43 Khuông Việt,Phú Trung,Tân Phú,,"Tẩm gia vị, sấy khô mực đã chế biến",2891,2023-07-19,,,,,,Ho Chi Minh
2892,,YT,,2023-07-07,2023-08-04,,CHI NHÁNH 112 NGÔ QUYỀN - CÔNG TY CỔ PHẦN ẨM THỰC THIÊN LÝ,NGUYỄN DUY CƯỜNG,112 (bên phải) đường Ngô Quyền,8,5,,Kinh doanh dịch vụ ăn uống,2892,2023-07-19,,,,,,Ho Chi Minh
2893,,YT,,2023-07-07,2023-08-04,,CHI NHÁNH 4- CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI CHẾ BIẾN THỰC PHẨM BÍCH NGỌC,HUỲNH MAI VÂN,273 An Dương Vương,3,5,,Kinh doanh dịch vụ ăn uống,2893,2023-07-19,,,,,,Ho Chi Minh
2894,,CT,,2023-07-07,2023-08-07,,CÔNG TY CỔ PHẦN QUỐC TẾ HOMEFARM - ĐỊA ĐIỂM KINH DOANH SỐ 65,TRẦN VĂN TRƯỜNG,304 Bàu Cát,11,Tân Bình,,Bán lẻ nhóm sản phẩm theo danh mục,2894,2023-07-19,,,,,,Ho Chi Minh
2895,,YT,,2023-07-07,2023-08-07,,ĐỊA ĐIỂM KINH DOANH CH0018 - CÔNG TY TNHH THƯƠNG MẠI SASIN,ĐỖ XUÂN TUẤN,36 Phan Huy Ích,15,Tân Bình,,Kinh doanh dịch vụ ăn uống,2895,2023-07-19,,,,,,Ho Chi Minh
2896,,NN,,2023-07-11,2023-07-27,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY TNHH SX - TM ẨM THỰC HOA NHƯ BẢO,,23 đường CN13,Sơn Kỳ,Tân Phú,,"Chế biến chả giò; Sơ chế, đóng gói thịt ",2896,2023-07-19,,,,,,Ho Chi Minh
2897,,YT,,2023-07-07,2023-08-07,,ĐỊA ĐIỂM KINH DOANH E-COFFEE THOẠI NGỌC HẦU CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ COFI KOFI,ĐOÀN HƯƠNG GIANG,"Tầng 1 và một phần Tầng 2, Khu Thương Mại SH01a – Cao Ốc Thoại Ngọc Hầu, Số 7A Thoại Ngọc Hầu",Hòa Thạnh,Tân Phú,,Kinh doanh dịch vụ ăn uống,2897,2023-07-19,,,,,,Ho Chi Minh
2898,,NN,,2023-07-11,2023-07-27,,CÔNG TY TNHH NGỌC NHƯ NGUYỄN,,"27/9C Tân Xuân 5, Ấp Chánh 2",Tân Xuân,Hóc Môn,314148134.0,"Chế biến: chanh, tắc, chanh dây, thơm, gừng, me",2898,2023-07-19,,,,,,Ho Chi Minh
2899,,NN,,2023-07-11,2023-07-27,,CÔNG TY TNHH TM THỦY SẢN GIA KỲ SEAFOOD,,174/30/15 Thái Phiên,8,11,317688071.0,Đóng gói tôm đông lạnh,2899,2023-07-19,,,,,,Ho Chi Minh
2900,,YT,,2023-07-06,2023-08-03,,CÔNG TY TNHH THƯƠNG MẠI 128A,LÊ THÀNH CÔNG,128A Phan Đăng Lưu,3,Phú Nhuận,,Kinh doanh dịch vụ ăn uống,2900,2023-07-19,,,,,,Ho Chi Minh
2901,,CT,,2023-07-11,2023-08-09,,ĐỊA ĐIỂM KINH DOANH CỬA HÀNG VISSAN - CHI NHÁNH CÔNG TY CỔ PHẦN VIỆT NAM KỸ NGHỆ SÚC SẢN - TRUNG TÂM KINH DOANH CHUỖI CỬA HÀNG VISSAN,LÊ THỊ HOÀNG NGÂN,"27/10 Nguyễn Ảnh Thủ, Ấp  Hưng Lân",Bà Điểm,Hóc Môn,,Bán lẻ nhóm sản phẩm theo danh mục,2901,2023-07-19,,,,,,Ho Chi Minh
2902,,YT,,2023-07-12,2023-08-10,,CÔNG TY TNHH MỘT THÀNH VIÊN PHƯƠNG PHƯƠNG HẢO,LÊ THỊ CHUYÊN,"33A, Ấp 4",Xuân Thới Thượng,Hóc Môn,,Kinh doanh dịch vụ ăn uống,2902,2023-07-19,,,,,,Ho Chi Minh
2903,,CT,,2023-07-12,2023-08-10,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ SẢN XUẤT VIỆT LÊ,TRẦN THÁI HÀ,"450/60 Đặng Thúc Vịnh, Ấp 1",Đông Thạnh,Hóc Môn,,"Sản xuất bánh mì, bánh bông lan",2903,2023-07-19,,,,,,Ho Chi Minh
2904,,NN,,2023-07-11,2023-07-27,,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỦY HẢI SẢN TƯỜNG PHÁT,,"25/4 Song Hành, QL22, Ấp Trung Chánh 2",Trung Chánh,Hóc Môn,,Kinh doanh thủy sản,2904,2023-07-19,,,,,,Ho Chi Minh
2905,,YT,,2023-07-12,2023-08-10,,ĐỊA ĐIỂM KINH DOANH XÓM VÔI - CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI TTV,TRẦN TUYẾT VÂN,Số 37 đường Xóm Vôi,14,5,,Kinh doanh dịch vụ ăn uống,2905,2023-07-20,,,,,,Ho Chi Minh
2906,,YT,,2023-07-10,2023-08-07,,ĐỊA ĐIỂM KINH DOANH 208 - CÔNG TY CỔ PHẦN DỊCH VỤ CÀ PHÊ CAO NGUYÊN,LÊ THÁI ANH,"Số 124D và 124E, Đường Thoại Ngọc Hầu",Phú Thọ Hòa,Tân Phú,,Kinh doanh dịch vụ ăn uống,2906,2023-07-20,,,,,,Ho Chi Minh
2907,,YT,,2023-07-11,2023-08-08,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ LÂN TUỆ MINH - NHÀ HÀNG CHÁO SƯỜN CHÚ CHEN - 111TSN,PHAN CÔNG MINH,109 -111 Tân Sơn Nhì,Tân Sơn Nhì,Tân Phú,,Kinh doanh dịch vụ ăn uống,2907,2023-07-20,,,,,,Ho Chi Minh
2908,,YT,,2023-07-07,2023-08-07,,CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI SẢN XUẤT VĨNH THÁI THÀNH,KHOU KHENH,410/4 Hậu Giang,12,6,,"Sản xuất nước uống đóng bình, đóng chai, đóng ly",2908,2023-07-20,,,,,,Ho Chi Minh
2909,,CT,,2023-07-12,2023-08-10,,CỬA HÀNG CO.OP FOOD BA ĐÌNH,VÕ THỊ NGỌC HƯỜNG,Số 827 đường Ba Đình,10,8,,Bán lẻ nhóm sản phẩm theo danh mục,2909,2023-07-20,,,,,,Ho Chi Minh
2910,,NN,,2023-07-11,2023-07-27,,HỘ KINH DOANH TÂN KÝ,,271 Nhật Tảo,8,10,,"Chế biến: khô từ thịt (khô bò, khô heo, khô gà)",2910,2023-07-20,,,,,,Ho Chi Minh
2911,,YT,,2023-07-10,2023-08-08,,ĐỊA ĐIỂM KINH DOANH (CỬA HÀNG) TẠI COOPMART LÝ THƯỜNG KIỆT,LÂM HỒNG NGUYỄN,"Vị trí 49, Lầu 3 TTTM Văn hóa Dịch vụ Giải trí, 497 đường Hòa Hảo",7,10,,Kinh doanh dịch vụ ăn uống,2911,2023-07-20,,,,,,Ho Chi Minh
2912,,CT,,2023-07-10,2023-08-08,,CÔNG TY CỔ PHẦN QUỐC TẾ HOMEFARM - ĐỊA ĐIỂM KINH DOANH SỐ 71,TRẦN VĂN TRƯỜNG,35/6 Đồng Nai,15,10,,Bán lẻ nhóm sản phẩm theo danh mục,2912,2023-07-20,,,,,,Ho Chi Minh
2913,,YT,,2023-07-11,2023-08-09,,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NHÀ HÀNG HOA VIỆT,VÕ THỊ MỸ CẨM,52-54 Đường 17A,Bình Trị Đông B,Bình Tân,,Kinh doanh dịch vụ ăn uống,2913,2023-07-20,,,,,,Ho Chi Minh
2914,,YT,,2023-07-07,2023-08-07,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN MAYCHA - CỬA HÀNG MAYCHA PHỔ QUANG,ĐỖ MINH TÂN,128 Phổ Quang,9,Phú Nhuận,,Kinh doanh dịch vụ ăn uống,2914,2023-07-20,,,,,,Ho Chi Minh
2915,,YT,,2023-07-11,2023-08-08,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH GOLDEN TRUST - CỬA HÀNG GONG CHA PHÚ MỸ HƯNG,NGUYỄN HOÀI PHƯƠNG,"Số SB-02, Khu phố Panorama (Lô CN5), 201 Tôn Dật Tiên",Tân Phong,7,,Kinh doanh dịch vụ ăn uống,2915,2023-07-20,,,,,,Ho Chi Minh
2916,,YT,,2023-07-11,2023-08-08,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH GONG CHA VIỆT NAM - CỬA HÀNG GONG CHA HỒ BÁN NGUYỆT QUẬN 7,NGUYỄN HOÀI PHƯƠNG,"Lô CR2-05, Số 107 Tôn Dật Tiên",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,2916,2023-07-20,,,,,,Ho Chi Minh
2917,,CT,,2023-07-12,2023-08-10,,CỬA HÀNG KMARKET PARKVIEW - CÔNG TY TNHH THƯƠNG MẠI AN CÁT,NGÔ THỊ HIỀN,"Số 111 Nguyễn Đức Cảnh, Khu phố Parkview-H19-2",Tân Phong,7,,Bán lẻ nhóm sản phẩm theo danh mục,2917,2023-07-20,,,,,,Ho Chi Minh
2918,,YT,,2023-07-12,2023-08-10,,CÔNG TY TRÁCH NHIỆM HỮU HẠN Y TẾ VIỄN ĐÔNG VIỆT NAM,JEAN-MARCEL GUILLON,"Số 6, đường Nguyễn Lương Bằng, (lô Md5-1, khu A Đô thị Phú Mỹ Hưng), Đô thị mới Nam thành phố",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,2918,2023-07-20,,,,,,Ho Chi Minh
2919,,YT,,2023-07-13,2023-08-11,,1988 BISTRO - ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HAI CÔ GÁI,NGUYỄN HOÀNG VÂN ANH,"Cửa Hàng Số 0.26 & 0.27 Tòa Nhà Riviera Point, 584 Huỳnh Tấn Phát",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,2919,2023-07-20,,,,,,Ho Chi Minh
2920,,YT,,2023-07-07,2023-08-04,,CÔNG TY TNHH MỘT THÀNH VIÊN MERSHE,NGUYỄN CHÍ LINH,"Lầu 1, Số 21-23 Hồ Tùng Mậu",Nguyễn Thái Bình,1,,Kinh doanh dịch vụ ăn uống,2920,2023-07-20,,,,,,Ho Chi Minh
2921,,YT,,2023-07-10,2023-08-08,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH GIN À,TRẦN BẢO NGỌC,3/5 Nhà số 5 Hàn Thuyên,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,2921,2023-07-20,,,,,,Ho Chi Minh
2922,,YT,,2023-07-10,2023-08-08,,CÔNG TY TNHH MTV SKYD CORPORATION,ĐOÀN THU THỦY,Số 8A/A23 Thái Văn Lung,Bến Nghé,1,,Kinh doanh dịch vụ ăn uống,2922,2023-07-20,,,,,,Ho Chi Minh
2923,,YT,,2023-07-12,2023-08-10,,CÔNG TY TNHH NHÀ HÀNG CHOI GO,LEE IL CHEOL,159-161-163 Hàm Nghi,Nguyễn Thái Bình,1,,Kinh doanh dịch vụ ăn uống,2923,2023-07-20,,,,,,Ho Chi Minh
2924,,YT,,2023-07-07,2023-08-04,,CÔNG TY TNHH BÁNH NGỌT LAYERS,MÃ PHƯỚC HẢI,5F Trần Nhật Duật,Tân Định,1,,Kinh doanh dịch vụ ăn uống,2924,2023-07-20,,,,,,Ho Chi Minh
2925,,YT,,2023-07-11,2023-08-09,,HỘ KINH DOANH NGUYỄN TIẾN DŨNG,NGUYỄN TIẾN DŨNG,"888/8 Tân Kỳ Tân Quý, Khu phố 5",Bình Hưng Hòa,Bình Tân,,Sản xuất nước đá dùng liền (nước đá viên); Sản xuất nước đá cây dùng để ướp thực phẩm,2925,2023-07-20,,,,,,Ho Chi Minh
2926,,YT,,2023-07-07,2023-08-04,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TRÀ CÀ PHÊ VN – THE COFFEE HOUSE – CỬA HÀNG SỐ 66,NGÔ NGUYÊN KHA,45 Đường số 5 cư xá Bình Thới,8,11,,Kinh doanh dịch vụ ăn uống,2926,2023-07-20,,,,,,Ho Chi Minh
2927,,YT,,2023-07-11,2023-08-09,,ĐỊA ĐIỂM KINH DOANH BẾP ĂN - CÔNG TY TNHH DỊCH VỤ THỰC PHẨM MAI VÀNG,CAO THÀNH NGUYÊN,"Lô số 19b- 21, Đường D, Khu chế xuất Sài Gòn Linh Trung",Linh Trung,Thủ Đức,,Kinh doanh dịch vụ ăn uống ,2927,2023-07-20,,,,,,Ho Chi Minh
2928,,YT,,2023-07-07,2023-08-07,,ĐỊA ĐIỂM KINH DOANH CH0015- CÔNG TY TNHH THƯƠNG MẠI SASIN,ĐỖ XUÂN TUẤN,594 Cách Mạng Tháng Tám,11,3,,Kinh doanh dịch vụ ăn uống ,2928,2023-07-20,,,,,,Ho Chi Minh
2929,,YT,,2023-07-07,2023-08-04,,CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) – NHÀ HÀNG GOGI HOUSE,HÀ THÚC TÚ,"F1-02, Tầng 1 Trung Tâm Mua Sắm Cao Thắng Mall, số 19 Cao Thắng",2,3,,Kinh doanh dịch vụ ăn uống ,2929,2023-07-20,,,,,,Ho Chi Minh
2930,,YT,,2023-07-07,2023-08-04,,ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG (TP HÀ NỘI) – NHÀ HÀNG SUMO BBQ,HÀ THÚC TÚ,59B Cao Thắng,3,3,,Kinh doanh dịch vụ ăn uống ,2930,2023-07-20,,,,,,Ho Chi Minh
2931,,YT,,2023-07-07,2023-08-07,,CÔNG TY TNHH FITFOOD,THÁI QUỐC KIM,"33 Đường số 14, Khu dân cư Bình Hưng, Ấp 2",Bình Hưng,Bình Chánh,,Kinh doanh dịch vụ ăn uống ,2931,2023-07-20,,,,,,Ho Chi Minh
2932,,YT,,2023-07-10,2023-08-08,,ĐỊA ĐIỂM KINH DOANH SỐ 2 CÔNG TY TNHH HOA TÚC,ĐỖ KIM HÀ,6A Ngô Thời Nhiệm,Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống ,2932,2023-07-20,,,,,,Ho Chi Minh
2933,,YT,,2023-07-13,2023-08-11,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH TOP FOOD VIET NAM – NHÀ HÀNG PAPAS’ CHICKEN,NGUYỄN THỊ THANH MAI,"GF-06, Tầng trệt, Số 168 Nguyễn Đình Chiểu",Võ Thị Sáu,3,,Kinh doanh dịch vụ ăn uống ,2933,2023-07-20,,,,,,Ho Chi Minh
2934,,NN,,2023-07-11,2023-07-27,,CÔNG TY CỔ PHẦN CHẾ BIẾN XUẤT NHẬP KHẨU AMORE ORGANIC COFFEE,,10 Đường 18A,Bình Hưng,Bình Chánh,313911466.0,Rang xay cà phê,2934,2023-07-20,,,,,,Ho Chi Minh
2935,,NN,,2023-07-11,2023-07-27,,CHI NHÁNH CÔNG TY TNHH THỰC PHẨM NGỌC GIÀU,,"C1/11A Đường Quách Điêu, Ấp 3",Vĩnh Lộc A,Bình Chánh,,"Cắt, đóng gói thịt",2935,2023-07-20,,,,,,Ho Chi Minh
2936,,NN,,2023-07-12,2023-07-28,,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ THƯƠNG MẠI PHÁT TRIỂN PHÚC AN - XƯỞNG SẢN XUẤT,,"42F Gò Cát, Khu phố 4",Phú Hữu,Thủ Đức,,"Chế biến các loại sản phẩm từ gừng, tinh bột nghệ, gạo lứt, rong biển, ngũ cốc, trái cây sấy",2936,2023-07-20,,,,,,Ho Chi Minh
2937,,YT,,2023-07-11,2023-08-09,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN MAYCHA - CỬA HÀNG MAYCHA HÀ TÔN QUYỀN,ĐỖ MINH TÂN,Số 127 Hà Tôn Quyền,4,11,,Kinh doanh dịch vụ ăn uống,2937,2023-07-20,,,,,,Ho Chi Minh
2938,,YT,,2023-07-11,2023-08-09,,CHI NHÁNH 434 LẠC LONG QUÂN - CÔNG TY CỔ PHẦN ẨM THỰC THIÊN LÝ,NGUYỄN DUY CƯỜNG,434-436 đường Lạc Long Quân,5,11,,Kinh doanh dịch vụ ăn uống,2938,2023-07-20,,,,,,Ho Chi Minh
2939,,YT,,2023-07-11,2023-08-09,,ĐỊA ĐIỂM KINH DOANH 6 - CÔNG TY TNHH GUTA VIỆT NAM,NGUYỄN MINH THẾ,120 Hiệp Nhất,4,Tân Bình,,Kinh doanh dịch vụ ăn uống,2939,2023-07-21,,,,,,Ho Chi Minh
2940,,NN,,2023-07-14,2023-08-01,,HỘ KINH DOANH HỒNG PHÁT COFFEE,,49 Tên Lửa,Bình Trị Đông B,Bình Tân,,"Rang, xay, đóng gói cà phê",2940,2023-07-21,,,,,,Ho Chi Minh
2941,,NN,,2023-07-14,2023-08-01,,CÔNG TY TNHH 4SEASONS FOOD VIỆT NAM,,368/17 Kinh Dương Vương,An Lạc A,Bình Tân,315555012.0,"Sơ chế, đóng gói: thịt, thuỷ sản, rau, củ, quả; Kinh doanh: thịt, thuỷ sản, rau, củ, quả, trứng",2941,2023-07-21,,,,,,Ho Chi Minh
2942,,YT,,2023-07-12,2023-08-10,,ĐỊA ĐIỂM KINH DOANH 70- CÔNG TY TNHH GUTA VIỆT NAM,NGUYỄN MINH THẾ,2-4 Đường Số 2,An Lạc A,Bình Tân,,Kinh doanh dịch vụ ăn uống,2942,2023-07-21,,,,,,Ho Chi Minh
2943,,YT,,2023-07-10,2023-08-07,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH JOLLIBEE VIỆT NAM – CỬA HÀNG THỨC ĂN NHANH JOLLIBEE LÊ ĐỨC THỌ,LÂM HỒNG NGUYỄN,688 Lê Đức Thọ,15,Gò Vấp,,Kinh doanh dịch vụ ăn uống,2943,2023-07-21,,,,,,Ho Chi Minh
2944,,YT,,2023-07-10,2023-08-08,,CHI NHÁNH CITYLAND - CÔNG TY CỔ PHẦN ẨM THỰC THIÊN LÝ,NGUYỄN DUY CƯỜNG,Căn nhà L49.1 (thuộc dự án CityLand Park Hills) - Số 4 Đường số 3,10,Gò Vấp,,Kinh doanh dịch vụ ăn uống,2944,2023-07-21,,,,,,Ho Chi Minh
2945,,NN,,2023-07-12,2023-07-28,,CÔNG TY TNHH CUNG CẤP THỰC PHẨM VẠN AN,,314-316 Lê Đức Thọ,6,Gò Vấp,315916533.0,Kinh doanh thịt gà,2945,2023-07-21,,,,,,Ho Chi Minh
2946,,YT,,2023-07-10,2023-08-08,,ĐỊA ĐIỂM KINH DOANH - CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ TINH HOA,NGUYỄN TUẤN ANH,"Lô B1-31-32, tầng B1, khối đế Khu hỗn hợp cao ốc điểm nhấn (Landmark) D, Khu phức hợp Tân Cảng Sài Gòn, số 772 Điện Biên Phủ",22,Bình Thạnh,,Kinh doanh dịch vụ ăn uống,2946,2023-07-21,,,,,,Ho Chi Minh
2947,,CT,,2023-07-11,2023-08-08,,ĐỊA ĐIỂM KINH DOANH WINMART+ HCM 63 - CHI NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,PHẠM THỊ THU HƯƠNG,Số 649/115C Điện Biên Phủ,25,Bình Thạnh,,Bán lẻ nhóm sản phẩm theo danh mục,2947,2023-07-21,,,,,,Ho Chi Minh
2948,,NN,,2023-07-14,2023-08-01,,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI CẨM MINH,,414/22 Hậu Giang,12,6,315764658.0,"Chế biến: tương ớt, tương đen",2948,2023-07-21,,,,,,Ho Chi Minh
2949,,NN,,2023-07-14,2023-08-01,,CÔNG TY TNHH THẾ GIỚI SỐT,,958/16B Lò Gốm,8,6,315968637.0,"Sơ chế: thịt, cá; Chế biến sốt",2949,2023-07-21,,,,,,Ho Chi Minh
2950,,YT,,2023-07-10,2023-08-08,,CHI NHÁNH ĐẦU TƯ BẤT ĐỘNG SẢN THE VIBES - CÔNG TY TNHH TƯ VẤN-THIẾT KẾ VÀ XÂY DỰNG NGUYÊN THỂ,TRẦN KIM NGÂN,Số 51 đường An Phú,An Phú,Thủ Đức,,Kinh doanh dịch vụ ăn uống,2950,2023-07-21,,,,,,Ho Chi Minh
2951,,"CT, NN, YT",,2023-07-11,2023-08-09,,CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART ĐỒNG VĂN CỐNG,VŨ ANH KHOA,Tầng 01 TTTM The CBD 125 Đồng Văn Cống,Thạnh Mỹ Lợi,Thủ Đức,,"Bán lẻ nhóm sản phẩm theo danh mục; Sơ chế, tẩm ướp, đóng gói: rau, củ, quả, thịt, thủy sản; Kinh doanh dịch vụ ăn uống",2951,2023-07-21,,,,,,Ho Chi Minh
2952,,CT,,2023-07-12,2023-08-10,,CỬA HÀNG CO.OP FOOD BÌNH KHÁNH,VÕ THỊ NGỌC HƯỜNG,Số 2680 Huỳnh Tấn Phát,Phú Xuân,Nhà Bè,,Bán lẻ nhóm sản phẩm theo danh mục,2952,2023-07-21,,,,,,Ho Chi Minh
2953,,YT,,2023-07-12,2023-08-10,,CÔNG TY TNHH APERITIVO - CHI NHÁNH ĐẶNG HỮU PHỔ,NGUYỄN HÙNG KHÁNH VÂN,Số 1 Đặng Hữu Phổ,Thảo Điền,Thủ Đức,,Kinh doanh dịch vụ ăn uống,2953,2023-07-21,,,,,,Ho Chi Minh
2954,,"CT, YT",,2023-07-12,2023-08-10,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM - CỬA HÀNG FAMILYMART SARIMI SALA,KIRIMURA AKIRA,"A1-00.06 thuộc tòa nhà Sarimi, Khu đô thị Sala, số 10 Mai Chí Thọ",An Lợi Đông,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,2954,2023-07-21,,,,,,Ho Chi Minh
2955,,"CT, YT",,2023-07-12,2023-08-10,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM - CỬA HÀNG FAMILYMART THE VISTA AN PHÚ,KIRIMURA AKIRA,"Mặt bằng thương mại P1-10-11 tại Tầng trệt của Trung Tâm Thương Mại Oxygen, Số 628C Xa Lộ Hà Nội",An Phú,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,2955,2023-07-21,,,,,,Ho Chi Minh
2956,,"CT, YT",,2023-07-12,2023-08-10,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CỬA HÀNG TIỆN LỢI GIA ĐÌNH VIỆT NAM - CỬA HÀNG FAMILYMART 67 MAI CHÍ THỌ,KIRIMURA AKIRA,"LA-01.07, Khu dân cư cao cấp Lexington Residence, số 67 Mai Chí Thọ",An Phú,Thủ Đức,,Bán lẻ nhóm sản phẩm theo danh mục; Kinh doanh dịch vụ ăn uống,2956,2023-07-21,,,,,,Ho Chi Minh
2957,,YT,,2023-07-12,2023-08-10,,ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN MAYCHA - CỬA HÀNG MAYCHA NGUYỄN DUY TRINH,ĐỖ MINH TÂN,161 Nguyễn Duy Trinh,Bình Trưng Đông,Thủ Đức,,Kinh doanh dịch vụ ăn uống,2957,2023-07-21,,,,,,Ho Chi Minh
2958,,YT,,2023-07-12,2023-08-10,,CÔNG TY TNHH TM DUBAI,NGUYỄN HỨU PHÚ,270A Tây Thạnh,Tây Thạnh,Tân Phú,,Kinh doanh dịch vụ ăn uống,2958,2023-07-21,,,,,,Ho Chi Minh
2959,,YT,,2023-07-14,2023-08-14,,ĐỊA ĐIỂM KINH DOANH CÔNG TY TNHH CUNG CẤP THỰC PHẨM – SSIS,STEPHEN KERSLAKE,78 Nguyễn Đức Cảnh,Tân Phong,7,,Kinh doanh dịch vụ ăn uống,2959,2023-07-24,,,,,,Ho Chi Minh
2960,,"CT, NN",,2023-07-14,2023-08-14,,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN HỘI NHẬP PHÁT TRIỂN ĐÔNG HƯNG,HISASHI HASEGAWA,"Thương mại Dịch vụ, số 0.01, Khối tháp V4 Khu chung cư kết hợp thương mại, văn phòng lô V (Sunrise City, khu South towers), số 23 Nguyễn Hữu Thọ",Tân Hưng,7,,"Sơ chế, đóng gói: rau, củ, quả; Bán lẻ nhóm sản phẩm theo danh mục",2960,2023-07-24,,,,,,Ho Chi Minh
2961,,YT,,2023-07-14,2023-08-14,,CÔNG TY TNHH CV GLOBAL,JEE SEUNG HO,"4F-40 Tầng 4, Crescent Mall, Số 101 Tôn Dật Tiên",Tân Phú,7,,Kinh doanh dịch vụ ăn uống,2961,2023-07-24,,,,,,Ho Chi Minh
